,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Albania,0.0,95.1,93.2,88.4,68.8,0.7,6.3,-0.5,-0.1,-0.4,12.1,4.3,1.3,0.8,-0.1,1.4,27.3,0.0,-1.6,11821.67,16.1,70.4
Algeria,5.0,84.0,87.4,81.0,66.3,0.6,10.4,8.0,-5.2,0.1,14.9,66.9,1.0,1.3,-0.2,3.2,0.1,0.0,26.9,14857.31,9.5,14.9
Angola,14.2,48.6,51.1,67.1,45.9,0.6,15.6,14.0,-6.1,-0.9,8.1,0.5,0.7,0.6,-0.1,0.8,51.7,0.0,-2.4,7380.79,6.8,70.1
Argentina,5.0,98.9,96.1,100.2,67.6,0.7,19.1,4.2,-2.4,-1.0,13.7,4.3,2.1,2.0,-0.1,4.5,8.7,2.2,10.1,22303.21,8.2,60.7
Armenia,5.8,100.0,89.5,78.3,66.9,0.7,7.2,1.7,-1.5,0.0,30.6,37.9,1.3,1.0,-0.2,1.7,6.9,0.1,0.4,8711.56,17.1,48.5
Australia,0.0,100.0,100.0,115.5,71.9,0.7,10.3,6.5,9.7,-0.3,19.1,3.9,4.5,5.3,0.1,15.8,6.5,4.2,8.5,48196.01,6.0,39.1
Austria,0.0,100.0,100.0,94.6,72.0,0.7,8.3,2.6,9.2,0.2,33.5,4.5,1.9,3.8,0.1,7.1,30.4,19.4,11.8,48098.23,5.0,85.5
Azerbaijan,5.0,86.2,87.9,75.4,64.7,0.7,2.9,5.2,-4.1,2.9,9.6,34.5,1.1,1.5,-0.2,3.2,1.6,0.5,17.8,17486.51,5.2,40.1
Bangladesh,16.4,86.2,59.6,59.2,62.4,0.7,6.9,4.9,-4.7,-0.2,0.9,2.9,0.5,0.2,-0.1,0.4,26.2,0.1,25.2,3841.03,4.3,34.3
Belarus,0.0,99.7,94.3,99.5,65.2,0.7,5.3,0.4,-4.0,0.9,10.0,2.6,2.5,2.9,0.0,6.1,5.2,0.0,17.3,17440.84,5.9,69.5
Belgium,0.0,100.0,99.5,118.7,71.1,0.8,6.7,2.2,7.7,0.3,17.9,32.8,3.0,4.7,0.1,7.8,6.4,4.9,9.8,44143.73,8.5,106.8
Benin,7.5,77.8,19.6,73.1,52.5,0.6,14.0,11.3,-2.1,-4.0,59.8,0.5,0.9,0.4,-0.1,0.5,53.4,0.1,9.4,2186.55,1.0,39.5
Bhutan,0.0,100.0,50.1,68.2,61.2,0.6,11.1,5.8,1.7,2.3,49.5,0.4,4.2,0.4,-0.4,0.8,30.3,1.3,14.7,8833.37,2.8,122.0
Bolivia,15.9,90.0,50.1,83.7,62.5,0.7,38.6,6.4,-3.6,-3.2,40.2,0.4,2.3,0.8,-0.2,5.0,14.8,0.3,8.3,6650.36,2.7,45.6
Bosnia-Herzegovina,0.0,99.9,50.2,78.0,68.6,0.7,8.4,-0.6,-1.2,0.0,1.7,0.9,1.4,2.0,-0.2,5.7,25.6,0.0,10.5,10937.55,27.9,45.5
Botswana,24.1,96.2,63.3,76.9,56.9,0.7,47.2,8.3,3.9,-1.7,32.9,1.6,1.5,1.2,-0.2,3.1,20.0,0.1,34.8,16938.21,18.2,15.6
Brazil,5.0,98.1,82.7,89.4,65.5,0.7,43.1,3.7,-0.3,-1.4,42.5,0.9,2.2,1.5,-0.1,2.3,38.6,0.3,7.3,15048.63,6.8,76.3
Bulgaria,0.0,99.4,86.0,90.4,66.4,0.7,13.7,-2.3,0.7,1.4,35.0,25.7,1.2,2.5,0.0,5.8,10.0,2.4,10.7,19839.09,11.6,30.2
Burkina Faso,20.7,82.1,19.4,46.5,52.6,0.7,11.7,12.4,-3.2,-2.0,20.9,6.6,1.1,0.3,0.0,0.2,83.4,0.2,9.9,1777.66,3.1,32.6
Burundi,0.0,75.8,48.0,62.4,52.2,0.7,7.0,14.2,-5.9,3.1,9.1,2.3,0.6,0.3,0.0,0.2,83.4,0.0,-9.0,834.92,6.9,39.5
Cambodia,14.2,73.4,40.8,62.5,58.1,0.7,6.4,6.7,-4.2,-6.5,35.1,0.5,0.9,0.4,-0.1,0.4,66.9,0.2,3.1,3711.32,0.4,33.4
Cameroon,9.9,75.4,45.6,61.7,50.3,0.7,13.4,10.5,-5.6,-4.2,14.9,0.3,1.0,0.3,0.0,0.3,70.1,0.0,-1.9,3247.60,4.3,38.0
Canada,0.0,99.8,99.8,93.0,72.3,0.7,9.6,4.4,9.9,0.0,12.6,1.3,3.2,7.9,0.0,15.6,17.9,1.3,7.0,46199.36,6.9,92.3
Central African Republic,47.7,68.4,21.7,42.5,45.9,0.6,38.2,8.2,-10.2,-0.2,22.2,0.5,1.2,0.3,0.0,0.2,83.4,0.1,5.4,659.42,7.4,58.5
Chad,34.4,50.8,12.0,46.2,46.1,0.6,18.2,14.1,-7.9,-0.9,19.6,1.9,1.4,0.3,0.0,0.2,83.4,0.0,5.4,2584.75,7.0,43.1
Chile,5.0,99.0,99.0,96.1,70.5,0.7,24.1,4.3,7.1,2.2,11.2,3.8,2.3,2.0,-0.1,4.3,26.5,0.1,4.1,23803.28,6.4,19.8
China,9.3,91.7,65.1,77.7,68.5,0.7,17.7,2.0,-2.6,1.5,16.5,21.2,1.1,2.2,-0.1,6.7,11.2,0.4,34.5,15095.21,4.7,46.8
Colombia,8.8,91.3,81.1,88.3,65.2,0.7,38.5,3.9,-1.6,-1.2,23.1,0.5,1.2,0.7,0.0,1.5,23.5,0.1,3.3,14171.19,10.1,49.3
Congo,30.5,76.3,14.9,67.0,56.6,0.6,13.7,10.6,-6.0,-0.4,45.8,0.6,0.8,0.6,-0.4,0.6,59.5,0.1,-103.6,6939.55,6.5,78.8
Congo Democratic Rep.,0.0,52.1,28.3,59.4,51.8,0.6,15.3,13.5,-9.2,-1.2,15.1,0.6,0.7,0.4,-0.3,0.1,94.3,0.4,-26.6,791.86,8.0,19.8
Costa Rica,5.0,97.7,94.5,94.4,69.8,0.7,25.7,4.5,3.9,4.7,48.2,2.8,1.5,1.0,0.0,1.5,50.2,0.4,14.7,16088.61,8.3,45.0
Cote d'Ivoire,13.3,81.8,22.3,52.4,69.8,0.6,17.7,10.2,-4.0,0.0,22.7,1.8,1.0,0.6,-0.2,0.4,74.1,0.1,9.9,3542.15,4.0,33.0
Croatia,0.0,99.6,97.1,89.9,69.4,0.7,9.5,-1.3,2.7,0.3,27.3,0.7,1.7,1.9,0.1,3.6,24.9,3.8,3.0,22296.22,16.7,89.0
Cuba,5.0,94.6,93.2,81.5,69.2,0.7,17.1,0.6,-2.8,4.3,4.2,18.3,0.7,1.0,0.1,2.6,14.2,0.0,6.5,20649.00,3.3,31.6
