,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Albania,0.0,95.4,92.1,84.5,68.3,0.6,6.3,-1.1,-1.6,-0.3,12.1,4.3,1.3,0.7,0.0,1.2,31.3,0.0,5.2,10884.08,13.9,71.7
Algeria,5.0,84.9,87.0,81.0,66.0,0.6,10.4,7.9,-5.3,0.2,14.9,66.9,1.0,1.2,-0.1,3.0,0.2,0.0,27.3,14119.54,11.0,8.0
Angola,16.5,47.8,49.1,67.1,44.7,0.7,15.6,14.3,-6.0,-1.0,8.1,0.5,0.8,0.6,-0.1,0.7,52.0,0.0,-2.4,7271.10,6.9,40.7
Argentina,5.0,98.6,95.5,100.4,67.3,0.7,19.2,4.3,-2.1,-1.1,13.7,4.3,2.2,1.9,0.0,4.4,8.1,2.6,8.4,22299.26,7.2,45.1
Armenia,6.7,99.7,89.5,78.3,66.5,0.7,6.7,0.9,-1.1,0.0,30.6,37.9,1.3,1.0,0.0,1.8,7.0,0.0,4.1,8153.61,17.3,41.3
Australia,0.0,100.0,100.0,115.5,71.7,0.7,10.3,6.6,9.6,-0.4,18.2,3.2,4.9,5.5,0.1,16.9,5.5,2.9,10.3,46562.41,5.2,34.1
Austria,0.0,100.0,100.0,93.9,71.6,0.7,8.3,1.6,9.0,0.3,33.5,4.5,2.2,3.9,0.0,7.6,29.9,19.9,12.8,46640.27,4.3,84.2
Azerbaijan,5.0,84.5,84.7,71.1,64.3,0.7,2.9,5.2,-5.1,2.9,9.6,34.5,1.0,1.5,0.0,3.1,1.9,0.5,12.7,17762.04,5.2,16.0
Bangladesh,17.2,84.8,57.7,59.2,61.6,0.7,6.9,4.8,-5.3,-0.2,0.9,2.9,0.5,0.2,-0.2,0.4,27.3,0.1,26.4,3390.79,4.5,33.9
Belarus,0.0,99.7,94.4,100.2,64.6,0.7,5.3,-0.4,-5.0,1.0,10.0,2.6,2.0,3.2,-0.1,6.1,5.2,0.0,24.2,18246.25,5.9,40.4
Belgium,0.0,100.0,99.5,95.7,70.7,0.8,6.7,3.6,8.0,0.3,17.9,32.8,2.7,4.9,0.1,8.3,6.2,4.4,10.4,43074.23,7.5,106.7
Benin,9.4,76.2,18.4,67.8,52.0,0.6,14.0,11.7,-2.1,-4.4,59.8,0.5,1.0,0.4,-0.1,0.5,55.8,0.1,9.4,2039.22,1.0,30.9
Bhutan,0.0,98.0,49.4,69.1,60.6,0.7,11.1,6.6,0.9,2.6,49.5,0.4,4.0,0.4,-0.5,0.7,32.4,1.2,32.2,7663.05,2.1,107.4
Bolivia,18.3,88.5,49.4,83.7,62.0,0.7,40.9,6.6,-3.6,-3.6,40.2,0.4,2.3,0.8,-0.3,5.7,15.0,0.4,10.1,6223.98,2.7,33.0
Bosnia-Herzegovina,0.0,99.5,48.4,75.4,68.1,0.7,8.4,-0.4,-1.7,0.0,1.7,0.9,1.4,1.7,-0.1,5.7,8.1,0.0,7.3,10084.47,28.1,44.0
Botswana,25.8,96.1,62.4,74.2,55.7,0.7,47.2,8.4,4.3,-2.0,29.3,1.6,1.7,1.1,0.0,2.3,22.2,0.1,21.4,16453.64,17.7,17.9
Brazil,5.0,97.5,81.6,88.4,65.3,0.7,40.1,3.8,0.3,-1.8,42.4,0.9,2.3,1.4,-0.1,2.1,40.7,0.3,7.8,16211.57,6.1,63.3
Bulgaria,0.0,99.5,86.0,83.7,66.0,0.7,13.7,-2.4,1.1,2.0,35.0,26.8,1.3,2.5,0.1,6.1,8.9,1.3,10.0,18270.91,12.3,26.4
Burkina Faso,20.8,81.7,18.6,44.9,51.7,0.7,11.7,12.7,-2.6,-2.2,20.9,6.6,1.1,0.3,0.0,0.2,83.6,0.1,9.9,1687.43,3.3,28.6
Burundi,0.0,75.3,47.5,61.0,51.2,0.7,7.0,14.5,-7.4,3.4,9.1,2.3,0.8,0.3,0.0,0.2,83.6,0.0,-9.0,865.33,7.0,32.6
Cambodia,15.7,68.8,37.2,62.5,56.8,0.7,6.4,6.6,-4.3,-7.4,35.1,0.5,0.9,0.4,-0.6,0.3,68.1,0.2,0.1,3277.75,0.2,33.4
Cameroon,10.4,74.1,45.2,61.7,49.4,0.7,13.4,10.6,-5.8,-4.7,14.9,0.3,1.0,0.3,0.0,0.2,72.5,0.0,-1.9,3013.42,4.1,28.0
Canada,0.0,99.8,99.8,93.0,72.0,0.7,9.6,4.5,9.7,-0.1,12.2,1.3,2.9,7.7,0.1,15.5,17.8,1.2,6.5,44989.96,7.2,86.2
Central African Republic,39.4,68.2,21.5,42.5,43.6,0.6,38.2,8.0,-8.0,-0.3,22.2,0.5,1.2,0.3,0.0,0.2,83.6,0.1,7.6,609.40,6.9,68.3
Chad,37.5,50.7,12.0,46.2,45.3,0.6,18.2,14.2,-7.7,-0.9,19.6,1.9,1.4,0.3,0.0,0.2,83.6,0.0,7.6,2626.86,7.0,36.7
Chile,5.0,98.7,98.8,91.1,70.2,0.7,24.5,4.4,7.1,1.9,11.1,3.8,2.4,2.1,-0.2,4.4,30.0,0.1,5.0,22995.13,6.4,15.1
China,10.4,91.7,65.1,72.5,68.1,0.7,17.7,2.0,-3.4,1.8,16.5,15.0,1.0,2.2,-0.3,6.4,10.6,0.4,33.8,13130.87,4.5,41.1
Colombia,10.3,91.2,80.2,87.8,64.9,0.7,39.6,4.2,-1.9,-1.8,22.2,0.5,1.3,0.7,0.0,1.4,24.6,0.1,2.7,13450.21,10.6,44.3
Congo,28.0,75.3,14.6,67.0,55.9,0.6,13.7,11.2,-6.5,-0.4,45.8,0.6,0.8,0.6,-0.7,0.5,58.4,0.1,-103.6,6634.73,6.6,47.5
Congo Democratic Rep.,0.0,51.4,27.6,59.2,50.8,0.6,15.3,13.6,-9.8,-1.4,15.1,0.6,0.7,0.4,-0.2,0.0,96.9,0.2,-18.0,728.55,8.2,16.8
Costa Rica,5.7,97.5,94.3,90.8,69.6,0.7,25.2,4.9,3.8,5.0,48.2,2.8,1.4,1.0,0.0,1.5,52.1,0.5,15.5,14978.36,7.8,39.3
Cote d'Ivoire,13.7,81.2,21.6,40.4,69.2,0.6,17.7,9.8,-5.9,0.0,22.7,1.8,1.0,0.6,-0.1,0.4,75.7,0.1,9.9,3101.36,4.1,36.6
Croatia,0.0,99.4,97.1,86.8,69.1,0.7,9.5,-3.9,2.4,0.4,27.3,0.6,1.7,2.0,0.1,3.8,20.3,2.4,5.2,20937.46,15.8,85.1
Cuba,5.0,94.1,92.7,86.2,68.8,0.8,17.1,0.6,-3.5,4.7,4.2,17.4,0.8,1.1,-0.1,2.7,12.5,0.1,5.8,19821.00,3.2,24.4
Cyprus,0.0,100.0,100.0,78.5,70.9,0.7,8.5,4.7,6.4,0.0,9.2,26.8,1.5,2.6,0.2,7.5,5.8,2.7,3.3,32284.91,11.8,108.2
Czech Republic,0.0,100.0,99.1,87.9,68.9,0.7,5.7,0.7,5.2,0.3,23.4,14.0,2.1,4.1,0.1,10.1,7.5,11.0,5.7,30046.76,7.0,42.7
Denmark,0.0,100.0,99.6,103.0,70.8,0.8,8.3,1.7,10.6,1.0,27.5,1.6,3.0,3.1,0.1,6.6,24.2,6.6,12.8,44995.25,7.5,44.6
Dominican Republic,13.0,85.4,82.9,77.8,64.6,0.7,18.9,5.3,-1.9,6.9,21.2,3.4,0.7,0.8,-0.1,2.0,13.0,8.7,13.6,14014.41,14.7,34.4
Ecuador,11.4,85.9,82.8,83.8,66.8,0.7,25.1,6.6,-4.3,-3.2,33.2,2.2,1.0,0.8,-0.2,2.2,13.8,0.7,10.0,11324.55,4.1,31.2
Egypt,5.0,98.8,94.7,75.5,62.1,0.6,6.7,8.9,-4.6,0.0,18.5,126.6,1.1,0.9,0.0,2.2,3.8,2.3,2.6,11485.03,12.7,86.0
El Salvador,12.8,91.6,72.6,77.6,63.4,0.7,15.1,1.1,-0.8,-2.1,9.6,8.6,1.2,0.7,0.1,1.0,51.4,0.4,1.5,8059.80,6.1,56.8
Estonia,0.0,99.5,97.2,96.6,68.4,0.7,10.2,-1.2,6.2,-0.4,29.6,12.7,3.3,4.2,0.0,12.4,15.6,15.3,14.0,27954.83,10.1,10.4
Ethiopia,33.9,51.6,24.3,54.1,55.1,0.6,8.6,10.9,-5.6,-0.7,23.8,4.6,1.0,0.5,0.0,0.1,95.1,0.5,14.5,1643.73,5.6,40.7
Finland,0.0,100.0,97.6,100.8,70.7,0.8,5.8,1.9,11.2,0.2,13.4,6.0,1.7,6.3,0.1,9.0,29.4,8.7,7.9,40689.52,7.6,59.3
France,0.0,100.0,98.7,95.2,72.3,0.7,8.7,2.0,7.1,2.1,29.2,14.1,2.3,3.8,0.1,4.8,8.2,3.8,6.5,40498.37,9.9,95.6
Gabon,5.0,92.2,41.4,75.4,56.0,0.6,14.6,9.5,-2.8,3.1,29.0,0.8,1.4,2.2,0.2,2.0,68.9,0.0,-10.4,17996.07,20.3,32.2
Gambia,5.6,90.1,58.7,55.7,53.3,0.7,20.6,13.9,-3.2,1.7,7.5,1.1,0.8,0.3,0.0,0.2,83.6,0.0,8.3,1604.88,7.0,101.1
Georgia,9.1,98.3,88.1,72.7,66.5,0.7,16.3,-5.1,0.8,0.8,6.8,2.9,0.8,0.8,-0.2,1.5,25.3,0.1,6.0,9198.17,15.0,35.5
Germany,0.0,100.0,99.2,95.3,71.0,0.8,7.1,0.3,8.7,0.1,36.7,21.4,2.0,3.9,0.1,9.3,10.3,6.2,12.4,46160.19,5.4,74.9
Ghana,5.0,85.4,14.4,66.1,54.8,0.7,17.2,10.3,0.4,1.2,17.1,1.7,1.5,0.3,-0.2,0.5,47.9,0.2,6.8,4185.78,3.6,69.0
Greece,0.0,100.0,99.0,104.8,71.6,0.7,15.4,-1.3,1.4,2.3,21.5,14.2,1.9,2.4,0.1,7.0,9.2,5.6,-6.7,25972.38,24.2,178.4
Guatemala,15.3,92.0,62.9,68.8,61.6,0.6,31.2,8.8,-3.7,-3.9,63.3,2.6,1.2,0.7,-0.2,0.7,69.1,0.3,4.6,7550.35,2.9,24.2
Guinea,17.1,74.8,18.9,51.6,51.5,0.6,8.7,11.5,-7.1,-1.5,40.7,0.2,1.2,0.3,0.0,0.2,83.6,0.1,-56.3,1229.84,1.7,42.9
Guinea-Bissau,22.6,73.6,20.2,60.0,50.8,0.6,25.8,10.0,-7.6,-3.5,24.2,0.6,1.4,0.3,0.0,0.2,83.6,0.0,-19.7,1456.80,6.9,55.0
Guyana,11.5,95.9,83.6,68.5,58.7,0.7,34.0,1.4,-2.5,-0.4,11.7,0.5,1.7,0.4,-0.5,0.7,32.4,0.3,-9.1,7244.22,11.2,50.9
Haiti,50.7,58.5,26.7,58.4,54.7,0.7,87.7,5.9,-6.8,-0.3,0.3,1.3,0.5,0.4,0.0,0.2,82.0,0.0,18.6,1738.13,7.0,26.5
Honduras,12.8,89.3,80.0,72.3,64.6,0.7,57.8,6.3,-3.9,-10.7,19.8,1.7,1.2,0.7,0.0,1.1,48.4,0.8,13.8,4746.38,4.0,46.4
Hungary,0.0,100.0,98.0,90.0,67.1,0.7,8.0,-1.3,3.9,0.8,13.5,4.9,1.5,2.4,0.1,4.3,7.6,2.8,5.9,25166.99,10.9,76.2
Iceland,0.0,100.0,98.8,99.6,72.5,0.9,6.0,1.7,8.8,0.1,18.3,2.1,31.1,17.6,-0.1,5.8,89.7,0.4,1.4,44317.48,6.0,82.5
India,15.4,92.2,37.5,69.1,58.9,0.7,8.5,5.4,-2.2,1.1,8.2,33.9,0.6,0.6,-0.2,1.4,26.4,0.3,19.8,5758.32,3.6,66.4
Indonesia,8.2,85.7,58.8,77.6,61.7,0.7,8.4,5.4,-2.4,-3.6,13.2,5.6,0.9,0.9,-0.1,1.6,34.9,0.2,25.9,10649.05,6.1,24.7
Iran,5.7,96.0,89.6,87.2,66.3,0.6,11.4,5.2,-6.6,0.2,9.1,67.9,1.0,2.8,0.0,6.7,0.7,0.1,11.3,17293.54,13.1,15.6
Iraq,23.6,86.1,84.8,63.0,60.5,0.6,6.4,13.8,-8.2,0.0,0.7,73.4,0.5,1.4,-0.5,3.9,0.9,0.0,-2.6,15347.59,15.2,38.9
Ireland,0.0,97.7,90.3,104.8,71.2,0.8,8.4,1.4,8.5,1.0,1.5,1.5,2.1,2.9,0.1,7.8,5.9,1.3,10.0,51283.75,14.7,107.5
Israel,0.0,100.0,100.0,93.9,72.5,0.7,18.5,7.7,3.7,0.4,22.0,79.7,1.6,3.1,0.0,9.3,4.8,1.2,14.2,33135.69,6.9,67.1
Italy,0.0,100.0,99.5,91.1,72.5,0.7,13.7,1.9,2.9,1.9,20.7,28.1,2.0,2.7,0.1,6.1,14.8,9.1,2.6,35095.00,10.7,132.5
Jamaica,8.8,93.8,81.7,79.4,66.5,0.7,17.4,1.2,0.0,-0.4,33.4,7.5,0.9,1.0,0.2,2.5,19.2,0.1,8.1,8624.12,13.7,135.6
Japan,0.0,100.0,100.0,89.4,74.7,0.6,9.2,-0.6,7.5,0.1,25.0,18.9,1.3,3.5,0.1,9.5,4.1,0.3,3.6,37442.24,4.3,249.1
Jordan,5.0,96.9,98.6,76.4,64.8,0.6,8.0,15.1,-0.7,0.0,5.5,92.4,1.0,1.2,0.0,3.6,1.9,0.3,5.2,11970.34,12.2,89.0
Kazakhstan,5.0,93.1,97.5,89.8,62.7,0.7,5.4,5.9,-3.9,0.0,5.4,18.4,2.2,4.4,0.0,13.9,1.0,0.1,-2.4,24108.02,5.3,14.7
Kenya,22.1,61.6,29.6,67.2,54.9,0.7,22.7,11.3,-4.4,0.8,22.7,1.5,0.9,0.5,0.0,0.2,83.0,0.0,5.1,3093.37,9.2,47.0
"Korea, North",41.8,99.7,81.8,80.5,63.5,0.7,8.9,2.1,-9.4,-10.5,4.2,11.2,0.5,0.6,0.3,1.9,15.8,0.2,31.3,1038.00,4.2,30.0
"Korea, South",5.0,97.6,100.0,97.9,72.7,0.6,7.3,2.1,4.5,-1.1,14.9,41.9,1.6,5.3,-0.1,11.5,0.9,1.4,18.3,35379.02,3.2,35.1
Kuwait,5.0,99.0,100.0,81.4,65.5,0.6,6.0,24.7,-0.4,0.0,21.5,275.0,1.3,10.9,0.0,25.2,0.0,0.2,27.3,70769.00,3.4,7.1
Kyrgyz Republic,6.2,87.6,93.0,74.1,63.5,0.7,5.8,6.2,-4.8,-1.2,30.5,32.6,0.9,0.7,-0.2,1.7,29.6,0.0,1.4,3261.86,8.4,52.6
Laos,19.4,71.5,64.6,60.2,57.2,0.7,10.2,6.9,-5.1,7.7,19.1,1.5,1.1,0.4,-0.5,0.7,32.4,0.3,-4.1,5005.71,1.4,63.7
Latvia,0.0,99.1,86.5,88.2,66.6,0.8,12.2,-6.0,3.9,1.1,32.2,0.7,4.6,2.2,0.0,3.4,37.4,10.8,0.6,23632.48,14.9,38.5
Lebanon,5.0,99.0,80.7,71.8,65.3,0.6,9.7,26.4,-4.2,0.2,7.9,24.3,1.4,1.6,-0.2,4.7,3.2,0.5,-5.6,18051.81,6.2,133.3
Lesotho,11.2,81.2,29.3,65.1,45.3,0.8,45.4,4.7,-0.8,0.2,21.1,1.4,1.1,0.3,0.0,0.2,83.6,0.0,19.4,2892.96,27.2,49.5
Liberia,33.4,72.9,16.1,63.9,52.3,0.6,11.9,12.4,-4.6,-3.1,11.9,0.6,1.1,0.3,0.0,0.2,83.6,0.0,-33.3,886.43,3.7,33.3
Libya,0.0,91.0,96.6,93.3,63.9,0.6,8.9,0.9,-8.2,0.0,0.3,822.9,1.0,2.7,0.1,7.0,0.9,0.1,34.1,15647.58,19.2,36.4
Lithuania,0.0,95.8,91.2,94.8,65.5,0.7,11.5,-6.5,4.7,1.2,16.9,2.6,3.6,2.5,0.2,3.8,15.7,5.4,18.6,27369.89,13.2,42.5
Luxembourg,0.0,100.0,97.6,77.3,71.3,0.7,9.7,9.2,10.3,0.0,40.0,1.3,3.5,7.7,0.1,19.4,3.4,3.2,12.3,96034.69,5.1,22.9
Macedonia,0.0,99.4,91.0,70.4,67.1,0.7,16.4,0.7,-0.4,1.4,12.2,8.6,1.2,1.4,0.0,4.3,10.1,1.2,11.1,13402.27,31.0,38.3
Madagascar,32.5,48.7,11.6,66.0,56.2,0.7,12.9,11.9,-4.6,-0.7,12.2,4.9,0.9,0.3,0.0,0.2,83.6,0.1,-3.4,1444.63,3.6,34.7
Malawi,20.8,84.7,39.7,69.1,49.7,0.7,17.3,13.0,-2.1,-2.9,33.0,7.9,0.7,0.3,0.0,0.2,83.6,0.0,-1.8,1112.25,7.6,100.4
Malaysia,5.0,97.9,95.9,71.5,66.1,0.7,19.8,6.5,2.0,3.5,23.8,1.9,1.5,2.7,0.0,6.6,3.2,0.0,12.8,25147.00,3.0,55.6
