,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Albania,0.0,96.0,88.1,68.6,67.1,0.7,6.8,-2.3,-2.5,0.2,7.5,4.3,1.1,0.7,-0.1,1.3,33.1,0.0,21.4,8485.75,12.4,55.1
Algeria,6.4,87.4,85.6,71.0,64.7,0.6,11.3,5.8,-4.3,0.1,14.9,57.1,0.9,1.0,-0.1,2.4,0.2,0.0,22.9,12214.58,12.3,8.4
Angola,28.6,46.2,40.4,60.0,42.0,0.7,22.0,14.9,-6.8,-1.0,8.1,0.5,0.7,0.5,0.0,0.4,68.3,0.0,-0.6,6119.63,6.8,16.6
Argentina,5.0,97.5,93.5,94.9,66.1,0.7,32.2,4.3,-1.3,-1.2,13.1,4.0,2.2,1.8,-0.2,4.0,8.3,1.8,7.3,17667.83,10.1,39.3
Armenia,6.7,96.1,89.5,75.0,65.6,0.7,7.7,-1.6,-2.0,-0.1,27.0,33.9,0.9,0.9,-0.4,1.4,6.7,0.0,21.6,7086.09,28.6,14.6
Australia,0.0,100.0,100.0,105.3,70.7,0.7,10.4,4.7,9.5,-0.5,13.4,3.7,4.0,5.7,0.0,18.3,5.6,2.8,6.7,40345.09,4.8,11.7
Austria,0.0,100.0,100.0,89.6,70.8,0.7,7.0,2.1,9.9,0.4,29.6,4.6,2.1,4.1,-0.1,8.7,21.9,16.7,14.2,42649.85,4.7,68.5
Azerbaijan,5.0,79.3,75.3,71.7,62.6,0.7,2.9,4.2,-5.3,1.1,8.5,35.1,1.0,1.6,-0.1,3.5,1.8,0.4,-0.1,13347.83,6.6,7.3
Bangladesh,16.9,80.6,51.8,51.9,59.4,0.7,7.1,5.8,-6.0,-0.2,0.7,2.9,0.4,0.2,-0.1,0.2,34.7,0.0,20.9,2324.60,4.2,40.6
Belarus,0.0,99.6,94.6,96.8,62.9,0.7,6.1,-2.4,-6.3,1.6,8.5,2.9,1.9,3.0,-0.2,6.0,4.4,0.0,22.2,13905.30,6.4,21.5
Belgium,0.0,100.0,99.5,93.5,69.7,0.7,6.8,2.4,7.7,0.4,17.8,34.5,2.7,5.5,0.0,9.9,2.4,2.1,14.4,39838.61,8.2,92.4
Benin,14.0,71.1,15.1,54.0,49.8,0.6,12.1,13.6,-1.3,-4.8,59.8,0.5,0.8,0.3,-0.1,0.4,62.0,0.0,8.6,1714.33,1.1,25.0
Bhutan,0.0,91.5,40.5,55.8,58.4,0.7,10.8,10.5,0.8,5.5,36.6,0.4,4.0,0.2,0.0,0.4,54.1,0.0,38.3,5126.89,3.1,58.6
Bolivia,28.7,83.7,40.5,87.9,59.3,0.7,87.5,7.2,-3.5,-3.2,33.5,0.4,2.1,0.7,-0.3,4.9,14.0,0.1,3.8,4773.98,5.3,37.2
Bosnia-Herzegovina,0.0,98.5,43.1,73.5,66.3,0.7,8.6,0.6,-2.1,-0.1,0.8,0.9,1.6,1.4,-0.2,4.5,12.9,0.0,6.9,8813.83,31.8,30.9
Botswana,32.4,95.4,57.2,71.1,49.6,0.7,54.7,6.6,3.9,-2.1,29.3,1.6,1.6,1.0,0.0,2.2,24.0,0.1,31.4,12841.51,17.6,7.7
Brazil,5.0,95.6,78.2,85.7,64.2,0.7,46.3,5.0,-0.6,-2.9,38.2,0.7,2.0,1.2,-0.1,1.6,43.3,0.3,6.3,13362.89,8.4,61.9
Bulgaria,0.0,99.6,85.9,77.1,64.7,0.7,16.5,-3.6,1.3,3.7,34.6,24.1,1.7,2.7,-0.1,6.2,5.6,0.1,2.2,15739.99,8.9,14.7
Burkina Faso,24.8,71.0,15.0,31.3,48.2,0.6,13.3,12.7,-2.0,-2.2,19.6,6.6,1.2,0.4,0.0,0.1,86.0,0.0,2.0,1300.01,2.3,25.2
Burundi,0.0,73.5,45.9,44.0,47.5,0.7,7.0,15.0,-6.5,0.3,6.4,2.3,0.9,0.4,0.0,0.1,86.0,0.0,-39.4,702.13,7.2,102.5
Cambodia,18.3,55.1,26.6,61.1,52.9,0.6,10.7,6.4,-5.3,-8.4,34.6,0.5,0.8,0.3,0.2,0.2,70.3,0.0,11.7,2345.65,0.9,27.8
Cameroon,18.8,68.0,43.7,49.0,46.8,0.6,13.4,10.8,-5.2,-4.7,13.4,0.3,0.9,0.4,0.1,0.2,83.0,0.0,4.7,2496.40,4.1,9.7
Canada,0.0,99.8,99.8,93.0,70.9,0.7,9.8,3.8,9.7,-0.1,10.6,1.4,2.9,8.2,0.0,16.1,16.4,0.9,9.6,39944.06,6.3,67.8
Central African Republic,39.0,65.2,19.2,39.7,40.7,0.6,29.5,7.1,-7.9,-0.3,21.7,0.5,1.3,0.4,0.0,0.1,86.0,0.1,4.6,858.48,6.9,50.7
Chad,40.3,47.7,10.8,36.3,42.7,0.5,14.6,15.2,-8.5,-0.5,17.5,1.9,1.5,0.4,0.0,0.1,86.0,0.0,4.6,1909.30,7.1,20.0
