,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Albania,0.0,95.6,90.9,77.7,67.7,0.7,6.4,-2.2,-1.0,0.0,10.1,4.3,1.2,0.7,0.0,1.3,40.6,0.0,7.4,10190.76,14.2,62.1
Algeria,5.0,85.7,86.6,79.2,65.7,0.6,10.4,7.2,-5.2,0.2,14.9,63.6,0.9,1.1,-0.1,2.7,0.2,0.0,27.5,13362.57,10.0,9.5
Angola,18.9,47.1,46.2,60.0,43.8,0.7,15.6,14.4,-6.1,-1.0,8.1,0.5,0.8,0.6,-0.1,0.7,57.0,0.0,-2.4,6670.67,6.9,29.5
Argentina,5.0,98.2,94.9,99.1,67.0,0.7,22.2,4.2,-1.7,-1.2,13.6,4.3,2.4,1.9,0.0,4.2,7.2,3.0,10.1,21341.90,7.7,37.6
Armenia,6.8,98.4,89.5,78.3,66.0,0.7,6.9,-0.7,-1.8,0.0,30.6,37.4,1.2,0.8,0.0,1.4,9.2,0.0,8.1,7418.10,19.0,36.5
Australia,0.0,100.0,100.0,111.2,71.3,0.7,10.3,7.3,9.6,-0.6,15.0,3.3,4.4,5.8,0.0,17.6,5.5,2.9,7.2,44352.55,5.2,27.8
Austria,0.0,100.0,100.0,93.6,71.4,0.7,7.7,1.2,9.3,0.3,32.8,4.5,2.0,4.1,0.0,8.2,27.1,19.7,13.1,45379.12,4.4,81.6
Azerbaijan,5.0,82.8,81.6,69.7,63.7,0.7,2.9,6.9,-4.7,2.3,9.6,34.7,1.0,1.3,0.2,2.6,3.3,0.4,9.8,16062.83,5.6,11.6
Bangladesh,17.3,83.5,55.8,53.9,61.0,0.7,6.9,4.6,-5.1,-0.2,0.9,2.9,0.5,0.2,-0.2,0.3,29.0,0.0,24.6,2978.63,4.5,33.8
Belarus,0.0,99.6,94.5,96.8,63.3,0.7,5.9,-0.9,-5.7,1.1,8.9,2.7,2.0,2.9,0.0,6.3,5.3,0.0,19.1,17216.55,6.2,39.1
Belgium,0.0,100.0,99.5,94.4,70.4,0.8,7.2,4.0,7.9,0.4,17.8,32.8,2.6,5.5,0.0,9.7,4.6,4.3,12.3,41541.37,8.3,104.1
Benin,11.9,74.5,17.3,54.0,51.6,0.6,13.6,12.3,-1.8,-4.4,59.8,0.5,0.8,0.4,-0.1,0.5,56.2,0.0,7.3,1826.92,1.0,26.8
Bhutan,0.0,96.0,46.8,65.2,59.9,0.7,10.9,7.5,0.6,5.5,49.5,0.4,4.0,0.3,-0.1,0.5,45.1,0.0,12.8,6861.97,3.3,72.2
Bolivia,24.5,86.9,46.8,83.7,61.4,0.7,43.4,6.7,-3.3,-3.6,33.7,0.4,2.2,0.6,0.1,5.9,16.8,0.3,11.3,5554.85,3.3,33.3
Bosnia-Herzegovina,0.0,99.2,46.7,73.5,67.9,0.7,8.4,-0.2,-2.3,0.0,1.7,0.9,1.4,1.7,-0.2,5.3,13.4,0.0,6.5,9400.90,27.2,44.3
Botswana,28.7,95.9,60.6,70.9,54.0,0.7,47.2,8.3,4.0,-2.0,29.3,1.6,1.0,1.1,0.0,1.6,23.2,0.1,21.5,14383.29,17.9,18.9
Brazil,5.0,96.9,80.5,87.0,64.8,0.7,43.0,4.0,0.6,-2.3,42.3,0.9,2.2,1.3,-0.1,1.9,43.9,0.4,10.5,15488.05,7.9,62.3
Bulgaria,0.0,99.5,85.9,81.2,65.7,0.7,12.8,-2.6,1.3,2.7,35.0,27.7,1.4,2.4,0.1,6.0,8.2,0.8,9.6,17008.51,10.2,16.8
Burkina Faso,21.7,78.2,17.4,40.5,50.8,0.6,11.7,12.9,-1.7,-2.2,20.9,6.6,1.2,0.3,0.0,0.1,84.9,0.1,9.9,1556.17,3.3,28.3
Burundi,0.0,74.7,46.9,58.1,50.0,0.7,7.0,15.0,-7.0,2.8,6.4,2.3,0.8,0.3,0.0,0.1,84.9,0.0,-27.1,802.77,7.1,39.9
Cambodia,16.8,64.2,33.6,62.5,55.6,0.6,7.8,6.3,-5.2,-7.8,35.1,0.5,0.9,0.4,-0.5,0.3,68.3,0.1,2.1,2841.96,0.4,32.1
Cameroon,11.9,72.1,44.7,57.3,48.7,0.6,13.4,10.7,-5.4,-4.7,14.0,0.3,1.0,0.3,0.1,0.2,68.8,0.0,0.9,2741.16,4.1,15.4
Canada,0.0,99.8,99.8,93.0,71.7,0.7,9.6,4.4,9.7,-0.1,11.8,1.3,2.8,7.8,0.1,15.5,16.4,1.0,4.9,42535.43,8.0,84.8
