,Sufficient Food,Sufficient to Drink,Safe Sanitation,Education ,Healthy Life,Gender Equality,Income Distribution,Population Growth,Good Governance,"Biodiversity 
forest area","Biodiversity 
protect. area",Renewable Water Resources,Consumption,Energy Use,Energy Savings,Greenhouse Gases,Renewable Energy,Organic Farming,Genuine Savings,GDP,Employment,Public Debt
Albania,0.0,95.8,89.6,71.9,67.3,0.7,6.6,-2.8,-1.3,0.3,10.0,4.3,1.1,0.7,0.0,1.3,26.2,0.0,8.8,9385.74,13.0,57.7
Algeria,5.6,86.6,86.1,67.7,65.2,0.6,10.9,6.4,-4.8,0.1,14.9,60.4,0.8,1.1,-0.1,2.5,0.2,0.0,24.5,12613.13,11.3,10.9
Angola,23.1,46.6,43.3,60.0,42.8,0.7,15.6,14.6,-6.3,-1.0,8.1,0.5,0.8,0.5,-0.1,0.6,62.0,0.0,-19.3,6230.42,6.8,44.3
Argentina,5.0,97.9,94.2,96.1,66.9,0.7,26.7,4.2,-1.8,-1.2,13.5,4.1,2.2,1.9,-0.1,4.4,6.3,3.0,9.9,19228.00,7.8,39.1
Armenia,6.1,97.3,89.5,76.5,65.5,0.7,6.7,-1.6,-1.7,-0.1,30.6,37.0,1.3,1.0,-0.5,1.8,5.4,0.0,17.3,6383.84,16.4,33.7
Australia,0.0,100.0,100.0,106.4,71.1,0.7,10.3,6.4,9.7,-0.7,14.0,3.5,5.2,5.9,-0.1,18.2,5.6,2.9,5.2,41488.61,4.2,20.5
Austria,0.0,100.0,100.0,90.8,70.9,0.7,8.0,1.4,10.0,0.3,32.8,4.6,2.1,4.0,0.0,8.4,25.1,17.5,16.0,42430.64,3.8,82.3
Azerbaijan,5.0,81.0,78.4,70.5,63.0,0.6,2.9,6.6,-4.5,1.6,9.6,34.9,1.1,1.5,0.0,3.3,2.1,0.4,6.4,15354.59,5.9,11.1
Bangladesh,17.2,82.0,53.8,50.9,60.2,0.7,7.0,4.9,-5.3,-0.2,0.8,2.9,0.4,0.2,-0.2,0.3,32.4,0.0,21.6,2592.17,4.4,36.6
Belarus,0.0,99.6,94.5,96.8,63.1,0.7,5.8,-1.6,-5.1,1.3,8.5,2.8,2.2,2.9,-0.1,6.1,4.7,0.0,22.7,15369.31,6.2,39.5
Belgium,0.0,100.0,99.5,93.2,69.9,0.8,7.6,3.0,7.4,0.5,17.8,33.4,2.5,5.5,0.0,9.7,3.4,2.6,13.6,40122.27,7.0,99.6
Benin,12.5,72.8,16.2,54.0,50.9,0.6,12.8,12.9,-1.4,-4.4,59.8,0.5,0.9,0.4,-0.2,0.4,59.2,0.0,8.6,1723.86,1.1,28.7
Bhutan,0.0,93.8,43.6,59.7,59.1,0.7,10.8,8.7,0.7,5.5,49.5,0.4,4.1,0.2,0.0,0.4,53.4,0.0,11.6,5833.04,3.8,57.5
Bolivia,28.0,85.4,43.6,83.7,60.3,0.7,51.5,6.9,-3.7,-3.6,33.6,0.4,2.2,0.6,-0.1,5.7,17.4,0.1,7.9,5001.30,2.9,38.5
Bosnia-Herzegovina,0.0,98.8,44.9,73.5,67.0,0.7,8.4,0.1,-2.1,0.0,1.7,0.9,1.6,1.6,-0.2,5.3,10.1,0.0,8.3,9016.51,23.9,42.8
Botswana,31.8,95.7,58.9,70.9,51.5,0.7,49.7,7.7,4.2,-2.1,29.3,1.6,1.3,1.1,-0.1,2.2,22.8,0.1,20.6,12789.60,21.9,19.4
Brazil,5.0,96.2,79.4,86.7,64.4,0.7,43.4,4.4,-0.2,-2.7,41.9,0.8,2.2,1.3,-0.1,1.8,44.5,0.4,6.6,14339.55,7.1,63.0
Bulgaria,0.0,99.6,85.9,78.7,65.3,0.7,10.6,-3.8,1.1,3.9,34.7,28.7,1.9,2.6,-0.1,6.5,5.3,0.5,4.8,15592.71,5.6,14.3
Burkina Faso,23.3,74.6,16.2,37.2,49.7,0.6,12.3,13.0,-1.5,-2.2,20.9,6.6,1.2,0.3,0.0,0.1,85.1,0.1,1.4,1404.06,3.3,29.3
Burundi,0.0,74.1,46.4,48.1,48.8,0.7,7.0,15.2,-6.7,2.1,6.4,2.3,0.8,0.3,0.0,0.1,85.1,0.0,-34.9,745.29,7.2,40.3
Cambodia,17.1,59.7,30.1,62.5,54.3,0.6,8.6,6.2,-5.0,-8.2,35.1,0.5,0.8,0.3,0.0,0.3,65.3,0.2,9.3,2462.23,0.3,29.4
